Emisiones de CO2 en Perú (Megatoneladas),
Año,CO2
2023,"58,403"
2022,"57,011"
2021,"53,269"
2020,"47,518"
2019,"58,160"
2018,"55,337"
2017,"55,206"
2016,"57,491"
2015,"54,892"
2014,"53,243"
2013,"50,316"
2012,"49,114"
2011,"49,173"
2010,"45,841"
2009,"41,969"
2008,"38,989"
2007,"34,371"
2006,"31,485"
2005,"31,836"
2004,"31,817"
2003,"27,550"
2002,"28,099"
2001,"26,936"
2000,"28,984"
1999,"29,313"
1998,"27,272"
1997,"28,369"
1996,"28,447"
1995,"25,887"
1994,"22,786"
1993,"22,211"
1992,"21,111"
1991,"20,237"
1990,"20,843"
1989,"21,003"
1988,"23,306"
1987,"23,017"
1986,"21,286"
1985,"19,551"
1984,"20,240"
1983,"19,509"
1982,"22,995"
1981,"23,392"
1980,"22,629"
1979,"21,511"
1978,"20,619"
1977,"20,525"
1976,"20,829"
1975,"20,382"
1974,"19,988"
1973,"18,430"
1972,"17,394"
1971,"17,379"
1970,"17,416"
